,id,device_id,timestamp,battery_state,battery_level,timezone,country_code,memory_active,memory_inactive,memory_free,memory_user,charger,health,voltage,temperature,usage,up_time,sleep_time,network_status,network_type,mobile_network_type,mobile_data_status,mobile_data_activity,wifi_status,wifi_signal_strength,wifi_link_speed,screen_on,screen_brightness,roaming_enabled,bluetooth_enabled,location_enabled,power_saver_enabled,nfc_enabled,developer_mode,free,total,free_external,total_system
0,799,242,2017-10-09 12:26:36,Charging,16.0,Europe/Madrid,pt,391532,393564,1417568,42860,ac,Good,3.81,35.0,0.95,57161,38707,WIFI,WIFI,utms,disconnected,none,enabled,-38,65,1,47,0,0,0,0,0,0,533,11819,85,2417
1,804,242,2017-10-09 12:27:29,Charging,17.0,Europe/Madrid,pt,381676,391188,1417568,43244,ac,Good,3.84,35.3,0.8,57213,38707,WIFI,WIFI,utms,disconnected,none,enabled,-37,65,1,47,0,0,0,0,0,0,532,11819,85,2417
2,1061,242,2017-10-09 12:29:20,Charging,18.0,Europe/Madrid,pt,395148,384052,1417568,27592,ac,Good,3.92,35.6,0.54,57324,38707,WIFI,WIFI,utms,disconnected,none,enabled,-38,65,1,47,0,0,0,0,0,0,533,11819,85,2417
3,1062,242,2017-10-09 12:30:40,Charging,19.0,Europe/Madrid,pt,393116,384492,1417568,22004,ac,Good,3.93,35.6,0.31,57404,38707,WIFI,WIFI,utms,disconnected,none,enabled,-37,65,1,47,0,0,0,0,0,0,533,11819,85,2417
4,1063,242,2017-10-09 12:32:11,Charging,20.0,Europe/Madrid,pt,387544,377304,1417568,30152,ac,Good,3.92,35.7,0.34,57495,38707,WIFI,WIFI,utms,disconnected,none,enabled,-32,65,1,47,0,0,0,0,0,0,533,11819,85,2417
5,1064,242,2017-10-09 12:33:32,Charging,21.0,Europe/Madrid,pt,381192,382780,1417568,36296,ac,Good,3.95,35.7,0.37,57576,38707,WIFI,WIFI,utms,disconnected,none,enabled,-31,65,1,47,0,0,0,0,0,0,532,11819,85,2417
6,1065,242,2017-10-09 12:34:42,Charging,22.0,Europe/Madrid,pt,384348,383568,1417568,30392,ac,Good,3.96,35.7,0.3,57646,38707,WIFI,WIFI,utms,disconnected,none,enabled,-33,65,1,47,0,0,0,0,0,0,532,11819,85,2417
7,1066,242,2017-10-09 12:36:09,Charging,23.0,Europe/Madrid,pt,375240,384288,1417568,45732,ac,Good,3.92,35.5,0.79,57733,38708,WIFI,WIFI,utms,disconnected,none,enabled,-33,65,1,47,0,0,0,0,0,0,532,11819,85,2417
8,1067,242,2017-10-09 12:37:30,Charging,24.0,Europe/Madrid,pt,384388,390092,1417568,35368,ac,Good,3.97,35.5,0.46,57814,38708,WIFI,WIFI,utms,disconnected,none,enabled,-32,65,1,-1,0,0,0,0,0,0,532,11819,85,2417
9,1068,242,2017-10-09 12:38:40,Charging,25.0,Europe/Madrid,pt,387548,402056,1417568,22796,ac,Good,3.98,35.2,0.31,57884,38708,WIFI,WIFI,utms,disconnected,none,enabled,-33,65,1,-1,0,0,0,0,0,0,532,11819,85,2417
10,1069,242,2017-10-09 12:40:01,Charging,26.0,Europe/Madrid,pt,390148,388740,1417568,33016,ac,Good,3.99,35.0,0.35,57965,38708,WIFI,WIFI,utms,disconnected,none,enabled,-36,65,1,-1,0,0,0,0,0,0,532,11819,85,2417
11,1070,242,2017-10-09 12:41:21,Charging,27.0,Europe/Madrid,pt,373168,359888,1417568,32924,ac,Good,3.98,35.1,0.39,58046,38708,WIFI,WIFI,utms,disconnected,none,enabled,-41,65,1,-1,0,0,0,0,0,0,532,11819,85,2417
12,1071,242,2017-10-09 12:42:22,Charging,28.0,Europe/Madrid,pt,364020,361900,1417568,30792,ac,Good,4.0,35.1,0.3,58106,38708,WIFI,WIFI,utms,disconnected,none,enabled,-40,65,1,-1,0,0,0,0,0,0,532,11819,85,2417
13,1072,242,2017-10-09 12:43:32,Charging,29.0,Europe/Madrid,pt,371144,364036,1417568,20660,ac,Good,4.0,35.2,0.27,58176,38708,WIFI,WIFI,utms,disconnected,none,enabled,-48,65,1,-1,0,0,0,0,0,0,532,11819,85,2417
14,1073,242,2017-10-09 12:44:43,Charging,30.0,Europe/Madrid,pt,353300,364432,1417568,33540,ac,Good,4.01,35.2,0.32,58247,38708,WIFI,WIFI,utms,disconnected,none,enabled,-41,65,1,-1,0,0,0,0,0,0,532,11819,85,2417
15,1074,242,2017-10-09 12:45:54,Charging,31.0,Europe/Madrid,pt,356908,352168,1417568,71352,ac,Good,4.01,35.2,0.36,58318,38708,WIFI,WIFI,utms,disconnected,none,enabled,-59,65,1,-1,0,0,0,0,0,0,532,11819,85,2417
16,1075,242,2017-10-09 12:47:04,Charging,32.0,Europe/Madrid,pt,358772,369416,1417568,52312,ac,Good,4.01,35.2,0.34,58388,38708,WIFI,WIFI,utms,disconnected,none,enabled,-60,65,1,-1,0,0,0,0,0,0,531,11819,85,2417
17,1076,242,2017-10-09 12:48:14,Charging,33.0,Europe/Madrid,pt,342844,338972,1417568,51340,ac,Good,4.02,35.4,0.3,58458,38708,WIFI,WIFI,utms,disconnected,none,enabled,-38,65,1,-1,0,0,0,0,0,0,531,11819,85,2417
18,1077,242,2017-10-09 12:49:25,Charging,34.0,Europe/Madrid,pt,342868,332420,1417568,52868,ac,Good,4.03,35.8,0.55,58529,38708,WIFI,WIFI,utms,disconnected,none,enabled,-45,65,1,-1,0,0,0,0,0,0,531,11819,85,2417
19,1078,242,2017-10-09 12:50:36,Charging,35.0,Europe/Madrid,pt,330448,339656,1417568,54904,ac,Good,4.03,36.1,0.38,58599,38708,WIFI,WIFI,utms,disconnected,none,enabled,-40,65,1,-1,0,0,0,0,0,0,531,11819,85,2417
20,1079,242,2017-10-09 12:51:36,Charging,36.0,Europe/Madrid,pt,328560,337232,1417568,89416,ac,Good,4.03,36.2,0.31,58660,38708,WIFI,WIFI,utms,disconnected,none,enabled,-46,65,1,-1,0,0,0,0,0,0,531,11819,85,2417
21,1080,242,2017-10-09 12:52:37,Charging,37.0,Europe/Madrid,pt,328900,338816,1417568,86556,ac,Good,4.03,36.2,0.36,58721,38708,WIFI,WIFI,utms,disconnected,none,enabled,-47,65,1,-1,0,0,0,0,0,0,531,11819,85,2417
22,1250,242,2017-10-09 12:52:47,Charging,37.0,Europe/Madrid,pt,352368,358492,1417568,24272,ac,Good,4.0,36.1,0.92,58731,38708,WIFI,WIFI,utms,disconnected,none,enabled,-47,65,1,-1,0,0,0,0,0,0,531,11819,85,2417
23,1251,242,2017-10-09 12:53:47,Charging,38.0,Europe/Madrid,pt,333704,338392,1417568,36164,ac,Good,4.03,36.2,0.46,58791,38708,WIFI,WIFI,utms,disconnected,none,enabled,-46,65,1,-1,0,0,0,0,0,0,533,11819,85,2417
24,1252,242,2017-10-09 12:54:58,Charging,39.0,Europe/Madrid,pt,328296,329380,1417568,85324,ac,Good,4.05,36.3,0.44,58862,38708,WIFI,WIFI,utms,disconnected,none,enabled,-46,65,1,-1,0,0,0,0,0,0,533,11819,85,2417
25,1253,242,2017-10-09 12:56:08,Charging,40.0,Europe/Madrid,pt,328360,315592,1417568,50328,ac,Good,4.05,36.4,0.37,58932,38708,WIFI,WIFI,utms,disconnected,none,enabled,-46,65,1,-1,0,0,0,0,0,0,533,11819,85,2417
26,1254,242,2017-10-09 12:57:09,Charging,41.0,Europe/Madrid,pt,327440,318596,1417568,43080,ac,Good,4.04,36.4,0.47,58993,38708,WIFI,WIFI,utms,disconnected,none,enabled,-47,65,1,-1,0,0,0,0,0,0,533,11819,85,2417
27,1255,242,2017-10-09 12:58:49,Charging,42.0,Europe/Madrid,pt,324644,335692,1417568,28384,ac,Good,3.96,36.0,0.54,59094,38708,WIFI,WIFI,utms,disconnected,none,enabled,-45,65,1,-1,0,0,0,0,0,0,529,11819,85,2417
