"device_id","date","time","screen_status","bright_level","bright_mode","screen_on_time","bluetooth","gps","saving_mode","nfc","flashlight","airplane_mode","fingerprint","orientation","battery_level","battery_health","battery_charging_status","battery_connection_status","battery_temperature","battery_current","battery_voltage","battery_potency","battery_capacity","network_mode","mobile_mode","mobile_status","mobile_roaming","mobile_rx","mobile_tx","wifi_status","wifi_intensity","wifi_speed","wifi_ap","wifi_rx","wifi_tx","wifi_connection","network_operator","sim_operator","mcc","mnc","ring_mode","sound_level","playback_status","ram_capacity","ram_usage","ram_free","rom_capacity","rom_usage","rom_free","core_numbers","cpu_temperature","up_time","sleep_time","frequency_core0","frequency_core1","frequency_core2","frequency_core3","frequency_core4","frequency_core5","frequency_core6","frequency_core7"
"70a09b5174d07fff","08/12/2021","00:00:24","enabled","19","automatic","520","disabled","enabled","disabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","30.0","-0.363769","3.637","-1.323027853","6174.0","enabled","disabled","disabled","disabled","181622069","23308683","enabled","-59","325",,"433","325","192.168.0.16","","","null","null","silent","15","enabled","5643.0","2436.0","3207.0","110,549MB","19,643MB","90,906MB","8","37.0","22662","20357","1248.0","1708.8","1708.8","1708.8","1708.8","1708.8","652.8","652.8"
"70a09b5174d07fff","08/12/2021","00:00:26","enabled","19","automatic","521","disabled","enabled","disabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","30.0","-0.329284","3.637","-1.197605908","6174.0","enabled","disabled","disabled","disabled","181751406","23329778","enabled","-60","325",,"433","325","192.168.0.16","","","null","null","silent","15","enabled","5643.0","2440.0","3203.0","110,549MB","19,643MB","90,906MB","8","37.0","22664","20357","1497.6","1497.6","1497.6","1497.6","1497.6","1497.6","652.8","652.8"
"70a09b5174d07fff","08/12/2021","00:00:28","enabled","19","automatic","522","disabled","enabled","disabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","30.0","-0.333252","3.637","-1.212037524","6174.0","enabled","disabled","disabled","disabled","181865505","23352901","enabled","-60","325",,"433","325","192.168.0.16","","","null","null","silent","15","enabled","5643.0","2423.0","3220.0","110,549MB","19,643MB","90,906MB","8","37.0","22667","20357","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","652.8","652.8"
"70a09b5174d07fff","08/12/2021","00:00:31","enabled","19","automatic","523","disabled","enabled","disabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","30.0","-0.406189","3.637","-1.477309393","6174.0","enabled","disabled","disabled","disabled","182006260","23372519","enabled","-60","325",,"433","325","192.168.0.16","","","null","null","silent","15","enabled","5643.0","2427.0","3216.0","110,549MB","19,643MB","90,906MB","8","37.0","22669","20357","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","652.8","652.8"
"70a09b5174d07fff","08/12/2021","00:00:33","enabled","19","automatic","524","disabled","enabled","disabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","30.0","-0.324707","3.637","-1.180959359","6174.0","enabled","disabled","disabled","disabled","182138002","23391938","enabled","-60","292",,"433","292","192.168.0.16","","","null","null","silent","15","enabled","5643.0","2429.0","3214.0","110,549MB","19,643MB","90,906MB","8","37.0","22671","20357","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","652.8","652.8"
"70a09b5174d07fff","08/12/2021","00:00:35","enabled","19","automatic","525","disabled","enabled","disabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","30.0","-0.364685","3.637","-1.326359345","6174.0","enabled","disabled","disabled","disabled","182260335","23419248","enabled","-60","292",,"433","292","192.168.0.16","","","null","null","silent","15","enabled","5643.0","2443.0","3200.0","110,549MB","19,643MB","90,905MB","8","37.0","22673","20357","1497.6","1804.8","1804.8","1804.8","1804.8","1804.8","652.8","652.8"
"70a09b5174d07fff","08/12/2021","00:00:37","enabled","19","automatic","526","disabled","enabled","disabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","30.0","-0.347595","3.637","-1.264203015","6174.0","enabled","disabled","disabled","disabled","182408107","23438998","enabled","-60","292",,"433","292","192.168.0.16","","","null","null","silent","15","enabled","5643.0","2445.0","3198.0","110,549MB","19,643MB","90,905MB","8","37.0","22675","20357","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","652.8","652.8"
"70a09b5174d07fff","08/12/2021","00:00:39","enabled","19","automatic","527","disabled","enabled","disabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","30.0","-0.422058","3.637","-1.535024946","6174.0","enabled","disabled","disabled","disabled","182528562","23459538","enabled","-59","325",,"433","325","192.168.0.16","","","null","null","silent","15","enabled","5643.0","2449.0","3194.0","110,549MB","19,643MB","90,905MB","8","37.0","22678","20357","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","652.8","652.8"
"70a09b5174d07fff","08/12/2021","00:00:42","enabled","19","automatic","528","disabled","enabled","disabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","30.0","-0.53894","3.637","-1.96012478","6174.0","enabled","disabled","disabled","disabled","182657295","23479581","enabled","-60","325",,"433","325","192.168.0.16","","","null","null","silent","15","enabled","5643.0","2452.0","3191.0","110,549MB","19,643MB","90,905MB","8","37.0","22680","20357","1324.8","1324.8","1324.8","1324.8","1324.8","1324.8","652.8","652.8"
"70a09b5174d07fff","08/12/2021","00:00:44","enabled","19","automatic","529","disabled","enabled","disabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","30.0","-0.344848","3.637","-1.254212176","6174.0","enabled","disabled","disabled","disabled","182810908","23510862","enabled","-60","325",,"433","325","192.168.0.16","","","null","null","silent","15","enabled","5643.0","2447.0","3196.0","110,549MB","19,643MB","90,905MB","8","37.0","22682","20357","1612.8","1612.8","1612.8","1612.8","1612.8","1612.8","652.8","652.8"
