"device_id","date","time","screen_status","bright_level","bright_mode","screen_on_time","bluetooth","gps","saving_mode","nfc","flashlight","airplane_mode","fingerprint","orientation","battery_level","battery_health","battery_charging_status","battery_connection_status","battery_temperature","battery_current","battery_voltage","battery_potency","battery_capacity","network_mode","mobile_mode","mobile_status","mobile_roaming","mobile_rx","mobile_tx","wifi_status","wifi_intensity","wifi_speed","wifi_ap","wifi_rx","wifi_tx","wifi_connection","network_operator","sim_operator","mcc","mnc","ring_mode","sound_level","playback_status","ram_capacity","ram_usage","ram_free","rom_capacity","rom_usage","rom_free","core_numbers","cpu_temperature","up_time","sleep_time","frequency_core0","frequency_core1","frequency_core2","frequency_core3","frequency_core4","frequency_core5","frequency_core6","frequency_core7"
"70a09b5174d07fff","12/01/2022","15:55:55","enabled","51","automatic","1","disabled","enabled","disabled","disabled","false","disabled","available","portrait","0","cold","unknown","unplugged","0.0","-1.224976","0.0","-0.0","6000.0","enabled","disabled","disabled","disabled","678465","385309","enabled","-59","325",,"433","325","192.168.0.16","","","null","null","silent","5","disabled","5643.0","1871.0","3772.0","110,549MB","23,687MB","86,862MB","8","37.0","48","0","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","2304.0","2304.0"
"70a09b5174d07fff","12/01/2022","15:55:56","enabled","51","automatic","2","disabled","enabled","disabled","disabled","false","disabled","available","portrait","27","good","discharging","unplugged","29.8","-1.243897","3.693","-4.593711621","6000.0","enabled","disabled","disabled","disabled","680280","391963","enabled","-59","325",,"433","325","192.168.0.16","","","null","null","silent","5","disabled","5643.0","1889.0","3753.0","110,549MB","23,687MB","86,861MB","8","37.0","49","0","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","2304.0","2304.0"
"70a09b5174d07fff","12/01/2022","15:56:00","enabled","51","automatic","3","disabled","enabled","disabled","disabled","false","disabled","available","portrait","27","good","discharging","unplugged","29.8","-1.257935","3.693","-4.645553955","6000.0","enabled","disabled","disabled","disabled","779533","435605","enabled","-56","390",,"390","390","192.168.0.16","","","null","null","silent","5","disabled","5643.0","1889.0","3754.0","110,549MB","23,688MB","86,860MB","8","37.0","52","0","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","2304.0","2304.0"
"70a09b5174d07fff","12/01/2022","15:56:01","enabled","51","automatic","4","disabled","enabled","disabled","disabled","false","disabled","available","portrait","27","good","discharging","unplugged","29.8","-1.186524","3.693","-4.381833132","6000.0","enabled","disabled","disabled","disabled","825441","506911","enabled","-59","292",,"390","292","192.168.0.16","","","null","null","silent","5","disabled","5643.0","1906.0","3737.0","110,549MB","23,685MB","86,863MB","8","37.0","54","0","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","806.4","806.4"
"70a09b5174d07fff","12/01/2022","15:56:03","enabled","124","automatic","5","disabled","enabled","disabled","disabled","false","disabled","available","portrait","27","good","discharging","unplugged","29.8","-1.26587","3.693","-4.67485791","6000.0","enabled","disabled","disabled","disabled","1234661","536543","enabled","-59","292",,"390","292","192.168.0.16","","","null","null","silent","5","disabled","5643.0","1938.0","3705.0","110,549MB","23,685MB","86,863MB","8","37.0","56","0","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","2304.0","2304.0"
"70a09b5174d07fff","12/01/2022","15:56:06","enabled","124","automatic","6","disabled","enabled","disabled","disabled","false","disabled","available","portrait","27","good","discharging","unplugged","29.8","-1.350708","3.693","-4.988164644","6000.0","enabled","disabled","disabled","disabled","1253033","549667","enabled","-58","325",,"325","325","192.168.0.16","","","null","null","silent","5","disabled","5643.0","1997.0","3646.0","110,549MB","23,686MB","86,863MB","8","37.0","59","0","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","2304.0","2304.0"
"70a09b5174d07fff","12/01/2022","15:56:09","enabled","124","automatic","7","disabled","enabled","disabled","disabled","false","disabled","available","portrait","27","good","discharging","unplugged","30.4","-1.075135","3.664","-3.93929464","6174.0","enabled","disabled","disabled","disabled","1313376","610204","enabled","-60","325",,"325","325","192.168.0.16","","","null","null","silent","5","disabled","5643.0","1972.0","3672.0","110,549MB","23,687MB","86,862MB","8","37.0","61","0","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","2208.0","2208.0"
"70a09b5174d07fff","12/01/2022","15:56:11","enabled","124","automatic","8","disabled","enabled","disabled","disabled","false","disabled","available","portrait","27","good","discharging","unplugged","30.4","-1.090699","3.694","-4.029042106","6174.0","enabled","disabled","disabled","disabled","1352843","643484","enabled","-60","325",,"325","325","192.168.0.16","","","null","null","silent","5","disabled","5643.0","1937.0","3706.0","110,549MB","23,687MB","86,862MB","8","37.0","63","0","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","2304.0","2304.0"
"70a09b5174d07fff","12/01/2022","15:56:12","enabled","124","automatic","9","disabled","enabled","disabled","disabled","false","disabled","available","portrait","26","good","discharging","unplugged","30.4","-1.205445","3.685","-4.442064825","6174.0","enabled","disabled","disabled","disabled","1409613","679649","enabled","-60","325",,"325","325","192.168.0.16","","","null","null","silent","5","disabled","5643.0","1952.0","3691.0","110,549MB","23,686MB","86,862MB","8","37.0","65","0","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","2304.0","2304.0"
"70a09b5174d07fff","12/01/2022","15:56:15","enabled","124","automatic","10","disabled","enabled","disabled","disabled","false","disabled","available","portrait","26","good","discharging","unplugged","30.4","-1.199036","3.685","-4.41844766","6174.0","enabled","disabled","disabled","disabled","1476118","711510","enabled","-60","325",,"325","325","192.168.0.16","","","null","null","silent","5","disabled","5643.0","1902.0","3741.0","110,549MB","23,686MB","86,862MB","8","37.0","67","0","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","2304.0","2304.0"
