"device_id","date","time","screen_status","bright_level","bright_mode","screen_on_time","bluetooth","gps","saving_mode","nfc","flashlight","airplane_mode","fingerprint","orientation","battery_level","battery_health","battery_charging_status","battery_connection_status","battery_temperature","battery_current","battery_voltage","battery_potency","battery_capacity","network_mode","mobile_mode","mobile_status","mobile_roaming","mobile_rx","mobile_tx","wifi_status","wifi_intensity","wifi_speed","wifi_ap","wifi_rx","wifi_tx","wifi_connection","network_operator","sim_operator","mcc","mnc","ring_mode","sound_level","playback_status","ram_capacity","ram_usage","ram_free","rom_capacity","rom_usage","rom_free","core_numbers","cpu_temperature","up_time","sleep_time","frequency_core0","frequency_core1","frequency_core2","frequency_core3","frequency_core4","frequency_core5","frequency_core6","frequency_core7"
"70a09b5174d07fff","13/01/2022","00:00:00","enabled","16","automatic","3110","disabled","enabled","enabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","31.7","-0.44281","3.655","-1.61847055","6174.0","enabled","disabled","disabled","disabled","8200330402","31889655","enabled","-55","433",,"433","433","192.168.0.16","","","null","null","silent","8","enabled","5643.0","2819.0","2824.0","110,549MB","23,814MB","86,735MB","8","37.0","29093","18233","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","652.8","652.8"
"70a09b5174d07fff","13/01/2022","00:00:02","enabled","16","automatic","3111","disabled","enabled","enabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","31.7","-0.628052","3.655","-2.29553006","6174.0","enabled","disabled","disabled","disabled","8200401598","31979370","enabled","-54","433",,"433","433","192.168.0.16","","","null","null","silent","8","disabled","5643.0","2837.0","2806.0","110,549MB","23,814MB","86,735MB","8","37.0","29095","18233","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","1094.4","1094.4"
"70a09b5174d07fff","13/01/2022","00:00:04","enabled","16","automatic","3112","disabled","enabled","enabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","31.7","-0.263672","3.655","-0.96372116","6174.0","enabled","disabled","disabled","disabled","8201700844","31998238","enabled","-54","433",,"433","433","192.168.0.16","","","null","null","silent","8","enabled","5643.0","2844.0","2799.0","110,549MB","23,815MB","86,734MB","8","37.0","29097","18233","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","652.8","652.8"
"70a09b5174d07fff","13/01/2022","00:00:06","enabled","16","automatic","3113","disabled","enabled","enabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","31.7","-0.361938","3.655","-1.32288339","6174.0","enabled","disabled","disabled","disabled","8201706207","32004123","enabled","-50","433",,"433","433","192.168.0.16","","","null","null","silent","8","enabled","5643.0","2851.0","2792.0","110,549MB","23,815MB","86,733MB","8","37.0","29098","18233","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","652.8","652.8"
"70a09b5174d07fff","13/01/2022","00:00:08","enabled","16","automatic","3114","disabled","enabled","enabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","31.7","-0.50415","3.655","-1.84266825","6174.0","enabled","disabled","disabled","disabled","8201711647","32045224","enabled","-52","433",,"433","433","192.168.0.16","","","null","null","silent","8","enabled","5643.0","2876.0","2767.0","110,549MB","23,815MB","86,733MB","8","37.0","29100","18233","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","652.8","652.8"
"70a09b5174d07fff","13/01/2022","00:00:10","enabled","16","automatic","3115","disabled","enabled","enabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","31.7","-0.632324","3.655","-2.31114422","6174.0","enabled","disabled","disabled","disabled","8205497839","32085609","enabled","-52","433",,"433","433","192.168.0.16","","","null","null","silent","8","enabled","5643.0","2845.0","2798.0","110,549MB","23,819MB","86,729MB","8","37.0","29103","18233","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","652.8","652.8"
"70a09b5174d07fff","13/01/2022","00:00:12","enabled","16","automatic","3116","disabled","enabled","enabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","31.7","-0.620727","3.655","-2.268757185","6174.0","enabled","disabled","disabled","disabled","8223420626","32119666","enabled","-54","433",,"433","433","192.168.0.16","","","null","null","silent","8","enabled","5643.0","2856.0","2787.0","110,549MB","23,830MB","86,719MB","8","37.0","29104","18233","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","652.8","652.8"
"70a09b5174d07fff","13/01/2022","00:00:13","enabled","16","automatic","3117","disabled","enabled","enabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","31.7","-0.411377","3.655","-1.503582935","6174.0","enabled","disabled","disabled","disabled","8223423984","32121815","enabled","-54","433",,"433","433","192.168.0.16","","","null","null","silent","8","enabled","5643.0","2867.0","2776.0","110,549MB","23,822MB","86,726MB","8","37.0","29106","18233","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","652.8","652.8"
"70a09b5174d07fff","13/01/2022","00:00:15","enabled","16","automatic","3118","disabled","enabled","enabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","31.7","-0.4422","3.655","-1.616241","6174.0","enabled","disabled","disabled","disabled","8223425373","32132180","enabled","-54","433",,"433","433","192.168.0.16","","","null","null","silent","8","enabled","5643.0","2881.0","2762.0","110,549MB","23,823MB","86,725MB","8","37.0","29108","18233","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","652.8","652.8"
"70a09b5174d07fff","13/01/2022","00:00:17","enabled","16","automatic","3119","disabled","enabled","enabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","31.7","-0.288391","3.655","-1.054069105","6174.0","enabled","disabled","disabled","disabled","8223426449","32132612","enabled","-52","433",,"433","433","192.168.0.16","","","null","null","silent","8","enabled","5643.0","2848.0","2795.0","110,549MB","23,823MB","86,725MB","8","37.0","29109","18233","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","652.8","652.8"
